transaction_id,player_id,tricode,type,date,notes
1979-CLR-1-8450642,8450642,CLR,DRAFTED,1979-08-09,"On 1979-08-09, with the 1st overall pick in the 1st round of the 1979 draft, CLR selected Rob Ramage, a WHA defenseman playing for the Birmingham Bulls."
1979-STL-1-8451992,8451992,STL,DRAFTED,1979-08-09,"On 1979-08-09, with the 2nd overall pick in the 1st round of the 1979 draft, STL selected Perry Turnbull, a WHL forward playing for the Portland Winter Hawks."
1979-DET-1-8446876,8446876,DET,DRAFTED,1979-08-09,"On 1979-08-09, with the 3rd overall pick in the 1st round of the 1979 draft, DET selected Mike Foligno, a OHA forward playing for the Sudbury Wolves."
1979-WSH-1-8447067,8447067,WSH,DRAFTED,1979-08-09,"On 1979-08-09, with the 4th overall pick in the 1st round of the 1979 draft, WSH selected Mike Gartner, a WHA forward playing for the Cincinnati Stingers."
1979-VAN-1-8452152,8452152,VAN,DRAFTED,1979-08-09,"On 1979-08-09, with the 5th overall pick in the 1st round of the 1979 draft, VAN selected Rick Vaive, a WHA forward playing for the Birmingham Bulls."
1979-MNS-1-8447667,8447667,MNS,DRAFTED,1979-08-09,"On 1979-08-09, with the 6th overall pick in the 1st round of the 1979 draft, MNS selected Craig Hartsburg, a OHA defenseman playing for the Sault Ste. Marie Greyhounds."
1979-CHI-1-8445713,8445713,CHI,DRAFTED,1979-08-09,"On 1979-08-09, with the 7th overall pick in the 1st round of the 1979 draft, CHI selected Keith Brown, a WHL defenseman playing for the Portland Winter Hawks."
1979-BOS-1-8445621,8445621,BOS,DRAFTED,1979-08-09,"On 1979-08-09, with the 8th overall pick in the 1st round of the 1979 draft, BOS selected Ray Bourque, a QMJHL defenseman playing for the Verdun Black Hawks."
1979-TOR-1-8445603,8445603,TOR,DRAFTED,1979-08-09,"On 1979-08-09, with the 9th overall pick in the 1st round of the 1979 draft, TOR selected Laurie Boschman, a WHL forward playing for the Brandon Wheat Kings."
1979-MNS-1-8449348,8449348,MNS,DRAFTED,1979-08-09,"On 1979-08-09, with the 10th overall pick in the 1st round of the 1979 draft, MNS selected Tom McCarthy, a OHA forward playing for the Oshawa Generals."
1979-BUF-1-8450645,8450645,BUF,DRAFTED,1979-08-09,"On 1979-08-09, with the 11th overall pick in the 1st round of the 1979 draft, BUF selected Mike Ramsey, a NCAA defenseman playing for U. of Minnesota."
1979-AFM-1-8450795,8450795,AFM,DRAFTED,1979-08-09,"On 1979-08-09, with the 12th overall pick in the 1st round of the 1979 draft, AFM selected Paul Reinhart, a OHA defenseman playing for the Kitchener Rangers."
1979-NYR-1-8451778,8451778,NYR,DRAFTED,1979-08-09,"On 1979-08-09, with the 13th overall pick in the 1st round of the 1979 draft, NYR selected Doug Sulliman, a OHA forward playing for the Kitchener Rangers."
1979-PHI-1-8450595,8450595,PHI,DRAFTED,1979-08-09,"On 1979-08-09, with the 14th overall pick in the 1st round of the 1979 draft, PHI selected Brian Propp, a WHL forward playing for the Brandon Wheat Kings."
1979-BOS-1-8449403,8449403,BOS,DRAFTED,1979-08-09,"On 1979-08-09, with the 15th overall pick in the 1st round of the 1979 draft, BOS selected Brad McCrimmon, a WHL defenseman playing for the Brandon Wheat Kings."
1979-LAK-1-8452366,8452366,LAK,DRAFTED,1979-08-09,"On 1979-08-09, with the 16th overall pick in the 1st round of the 1979 draft, LAK selected Jay Wells, a OHA defenseman playing for the Kingston Canadians."
1979-NYI-1-8451800,8451800,NYI,DRAFTED,1979-08-09,"On 1979-08-09, with the 17th overall pick in the 1st round of the 1979 draft, NYI selected Duane Sutter, a WHL forward playing for the Lethbridge Broncos."
1979-HFD-1-8444913,8444913,HFD,DRAFTED,1979-08-09,"On 1979-08-09, with the 18th overall pick in the 1st round of the 1979 draft, HFD selected Ray Allison, a WHL forward playing for the Brandon Wheat Kings."
1979-WIN-1-8449119,8449119,WIN,DRAFTED,1979-08-09,"On 1979-08-09, with the 19th overall pick in the 1st round of the 1979 draft, WIN selected Jimmy Mann, a QMJHL forward playing for the Sherbrooke Beavers."
1979-QUE-1-8447310,8447310,QUE,DRAFTED,1979-08-09,"On 1979-08-09, with the 20th overall pick in the 1st round of the 1979 draft, QUE selected Michel Goulet, a WHA forward playing for the Birmingham Bulls."
1979-EDM-1-8448884,8448884,EDM,DRAFTED,1979-08-09,"On 1979-08-09, with the 21st overall pick in the 1st round of the 1979 draft, EDM selected Kevin Lowe, a QMJHL defenseman playing for the Quebec Remparts."
1979-PHI-2-8452370,8452370,PHI,DRAFTED,1979-08-09,"On 1979-08-09, with the 22nd overall pick in the 2nd round of the 1979 draft, PHI selected Blake Wesley, a WHL defenseman playing for the Portland Winter Hawks."
1979-AFM-2-8450309,8450309,AFM,DRAFTED,1979-08-09,"On 1979-08-09, with the 23rd overall pick in the 2nd round of the 1979 draft, AFM selected Michael Perovich, a WHL defenseman playing for the Brandon Wheat Kings."
1979-WSH-2-8450655,8450655,WSH,DRAFTED,1979-08-09,"On 1979-08-09, with the 24th overall pick in the 2nd round of the 1979 draft, WSH selected Errol Rausse, a WHL forward playing for the Seattle Breakers."
1979-NYI-2-8448370,8448370,NYI,DRAFTED,1979-08-09,"On 1979-08-09, with the 25th overall pick in the 2nd round of the 1979 draft, NYI selected Tomas Jonsson, a Sweden defenseman playing for None."
1979-VAN-2-8445118,8445118,VAN,DRAFTED,1979-08-09,"On 1979-08-09, with the 26th overall pick in the 2nd round of the 1979 draft, VAN selected Brent Ashton, a WHL forward playing for the Saskatoon Blades."
1979-MTL-2-8447205,8447205,MTL,DRAFTED,1979-08-09,"On 1979-08-09, with the 27th overall pick in the 2nd round of the 1979 draft, MTL selected Gaston Gingras, a WHA defenseman playing for the Birmingham Bulls."
1979-CHI-2-8451957,8451957,CHI,DRAFTED,1979-08-09,"On 1979-08-09, with the 28th overall pick in the 2nd round of the 1979 draft, CHI selected Tim Trimper, a OHA forward playing for the Peterborough Petes."
1979-LAK-2-8447962,8447962,LAK,DRAFTED,1979-08-09,"On 1979-08-09, with the 29th overall pick in the 2nd round of the 1979 draft, LAK selected Dean Hopkins, a OHA forward playing for the London Knights."
1979-LAK-2-8447569,8447569,LAK,DRAFTED,1979-08-09,"On 1979-08-09, with the 30th overall pick in the 2nd round of the 1979 draft, LAK selected Mark Hardy, a QMJHL defenseman playing for the Montreal Juniors."
1979-PIT-2-8449230,8449230,PIT,DRAFTED,1979-08-09,"On 1979-08-09, with the 31st overall pick in the 2nd round of the 1979 draft, PIT selected Paul Marshall, a OHA forward playing for the Brantford Alexanders."
