staff_id,nhl_id,start_date,end_date,team,role
CCSTA2_32,32,1995-10-07,1997-11-23,FLA,head_coach
CCSTA2_123,124,2010-10-08,2012-01-08,CBJ,head_coach
CCSTA2_62,62,2019-03-02,2019-04-06,OTT,head_coach
CCSTA2_100,100,2006-11-29,2008-10-15,CHI,head_coach
CCSTA2_50,50,1968-11-06,1969-01-19,MNS,head_coach
CCSTA2_73,73,2022-10-13,2026-01-04,FLA,head_coach
CCSTA2_144,145,2019-10-03,2023-04-13,ANA,head_coach
CCSTA2_76,76,2005-10-05,2019-02-09,ANA,head_coach
CCSTA2_104,104,2021-12-06,2023-01-21,VAN,head_coach
CCSTA2_52,52,2016-02-15,2016-04-09,MIN,head_coach
CCSTA2_110,110,2008-10-10,2010-11-13,NYI,head_coach
CCSTA2_2,2,2019-10-04,2021-12-05,PHI,head_coach
CCSTA2_86,86,2008-10-09,2012-02-29,TOR,head_coach
CCSTA2_41,41,1987-10-08,1988-04-03,MNS,head_coach
CCSTA2_84,84,1982-03-27,1984-01-18,VAN,head_coach
CCSTA2_81,81,1997-10-26,1997-11-11,TBL,head_coach
CCSTA2_23,23,1986-11-05,1986-12-20,BUF,head_coach
CCSTA2_54,54,2002-10-10,2006-10-20,PHI,head_coach
CCSTA2_114,114,2009-10-03,2011-04-10,MIN,head_coach
CCSTA2_78,78,2019-12-10,2022-04-29,DAL,head_coach
CCSTA2_45,45,2009-10-01,2011-12-15,MTL,head_coach
CCSTA2_15,15,2005-10-05,2008-04-04,OTT,head_coach
CCSTA2_113,113,2009-02-16,2014-04-13,PIT,head_coach
CCSTA2_13,13,1997-10-01,2000-04-08,CGY,head_coach
CCSTA2_102,102,1991-10-04,1995-04-01,WIN,head_coach
CCSTA2_66,66,2004-02-26,2006-12-09,STL,head_coach
CCSTA2_11,11,1972-10-07,1977-04-03,LAK,head_coach
CCSTA2_74,74,2003-12-18,2008-11-30,CAR,head_coach
CCSTA2_74,74,2009-12-05,2013-10-06,PHI,head_coach
CCSTA2_21,21,2008-10-04,2009-02-01,OTT,head_coach
CCSTA2_34,34,2003-10-10,2005-12-13,PIT,head_coach
CCSTA2_5,5,2018-10-04,2022-04-29,NYI,head_coach
CCSTA2_72,72,1998-10-10,2006-04-18,TOR,head_coach
CCSTA2_62,62,2006-10-06,2008-04-05,LAK,head_coach
CCSTA2_60,60,1999-02-24,1999-11-30,CHI,head_coach
CCSTA2_28,28,2002-10-09,2009-04-10,DAL,head_coach
CCSTA2_107,107,2011-10-08,2014-12-23,NJD,head_coach
CCSTA2_13,13,1992-10-08,1995-05-03,BOS,head_coach
CCSTA2_87,87,1993-10-05,2002-04-14,DET,head_coach
CCSTA2_43,43,1992-10-06,1995-10-14,MTL,head_coach
CCSTA2_84,84,1989-10-06,1993-01-02,NYR,head_coach
CCSTA2_64,64,2015-10-07,2019-11-19,TOR,head_coach
CCSTA2_35,35,2004-01-02,2006-11-12,CBJ,head_coach
CCSTA2_87,87,1971-10-09,1979-04-08,MTL,head_coach
CCSTA2_111,111,2008-11-16,2010-04-11,TBL,head_coach
CCSTA2_57,57,1995-10-07,1999-04-18,LAK,head_coach
CCSTA2_137,138,2013-01-19,2014-04-13,WSH,head_coach
CCSTA2_85,85,2000-10-07,2002-04-13,NYR,head_coach
CCSTA2_40,40,1992-03-03,1992-04-16,CGY,head_coach
CCSTA2_96,96,2005-10-05,2006-11-24,CHI,head_coach
CCSTA2_83,83,1987-12-09,1989-04-02,LAK,head_coach
CCSTA2_65,65,1997-11-14,1999-01-19,VAN,head_coach
CCSTA2_53,53,2013-10-03,2014-04-13,VAN,head_coach
CCSTA2_4,4,1999-10-02,2006-03-20,LAK,head_coach
CCSTA2_7,7,1999-01-21,1999-04-17,NYI,head_coach
CCSTA2_97,97,1997-10-01,1998-03-08,PHI,head_coach
CCSTA2_21,21,1995-10-07,1998-04-18,CHI,head_coach
CCSTA2_74,74,2014-10-09,2020-01-05,NSH,head_coach
CCSTA2_22,22,2000-10-06,2014-12-27,EDM,head_coach
CCSTA2_19,19,2007-10-05,2017-02-04,BOS,head_coach
CCSTA2_19,19,2003-01-18,2021-02-23,MTL,head_coach
CCSTA2_109,109,1992-10-06,1995-04-19,LAK,head_coach
CCSTA2_75,75,1995-10-07,1997-04-12,CGY,head_coach
CCSTA2_47,47,1994-01-27,1997-04-13,WSH,head_coach
CCSTA2_11,11,1977-10-13,2000-04-09,CHI,head_coach
CCSTA2_84,84,1977-10-13,1979-04-08,TOR,head_coach
CCSTA2_65,65,2007-10-04,2009-04-11,CGY,head_coach
CCSTA2_10,10,2013-01-20,2016-04-09,CGY,head_coach
CCSTA2_70,70,2015-12-14,2025-04-17,PIT,head_coach
CCSTA2_14,14,2017-02-09,2022-04-29,BOS,head_coach
CCSTA2_120,121,2010-01-02,2011-11-05,STL,head_coach
CCSTA2_57,57,2000-03-24,2005-12-17,NJD,head_coach
CCSTA2_79,79,1989-10-05,1991-12-11,BUF,head_coach
CCSTA2_104,104,2007-11-23,2011-11-26,WSH,head_coach
CCSTA2_144,145,2013-10-01,2014-12-14,EDM,head_coach
CCSTA2_25,25,2002-12-29,2023-04-12,CGY,head_coach
CCSTA2_110,110,2018-12-18,2019-04-06,PHI,head_coach
CCSTA2_73,73,1995-11-07,2011-11-27,CAR,head_coach
CCSTA2_70,70,2003-10-08,2006-04-15,BOS,head_coach
CCSTA2_93,93,1986-11-08,1989-04-02,BOS,head_coach
CCSTA2_109,109,2008-10-04,2008-11-13,TBL,head_coach
